sale_id,store_id,customer_id,product_id,sale_date,sale_amount
SALE0001,1,2680,PROD020,2019-01-01,732
SALE0002,49,1797,PROD011,2019-01-02,335
SALE0003,58,2076,PROD031,2019-01-03,1491
SALE0004,59,1050,PROD035,2019-01-04,998
SALE0005,41,1825,PROD002,2019-01-05,400
SALE0006,9,1257,PROD024,2019-01-06,788
SALE0007,24,2096,PROD039,2019-01-07,1141
SALE0008,50,1671,PROD040,2019-01-08,521
SALE0009,24,2774,PROD029,2019-01-09,1290
SALE0010,48,1324,PROD012,2019-01-10,488
SALE0011,49,1705,PROD030,2019-01-11,628
SALE0012,16,1628,PROD037,2019-01-12,457
SALE0013,51,1387,PROD003,2019-01-13,1218
SALE0014,47,1517,PROD011,2019-01-14,967
SALE0015,29,2331,PROD014,2019-01-15,1159
SALE0016,33,1726,PROD037,2019-01-16,690
SALE0017,12,2005,PROD022,2019-01-17,597
SALE0018,24,1888,PROD029,2019-01-18,1492
SALE0019,35,1686,PROD003,2019-01-19,1098
SALE0020,20,1666,PROD006,2019-01-20,997
SALE0021,17,2398,PROD021,2019-01-21,346
SALE0022,50,2407,PROD018,2019-01-22,361
SALE0023,57,2737,PROD026,2019-01-23,915
SALE0024,27,2204,PROD014,2019-01-24,493
SALE0025,45,1828,PROD005,2019-01-25,1354
SALE0026,44,1894,PROD035,2019-01-26,380
SALE0027,7,1336,PROD036,2019-01-27,372
SALE0028,16,2139,PROD032,2019-01-28,624
SALE0029,36,1129,PROD012,2019-01-29,976
SALE0030,53,1860,PROD009,2019-01-30,249
SALE0031,4,1954,PROD009,2019-01-31,1103
SALE0032,16,2362,PROD032,2019-02-01,170
SALE0033,42,1902,PROD027,2019-02-02,653
SALE0034,20,2508,PROD014,2019-02-03,45
SALE0035,12,1528,PROD012,2019-02-04,474
SALE0036,38,2783,PROD026,2019-02-05,1230
SALE0037,20,2617,PROD004,2019-02-06,359
SALE0038,36,1042,PROD005,2019-02-07,849
SALE0039,38,2450,PROD020,2019-02-08,1077
SALE0040,23,1171,PROD036,2019-02-09,1121
SALE0041,37,1395,PROD025,2019-02-10,1196
SALE0042,39,2725,PROD022,2019-02-11,588
SALE0043,37,1266,PROD028,2019-02-12,487
SALE0044,3,2585,PROD017,2019-02-13,1043
SALE0045,36,2393,PROD006,2019-02-14,223
SALE0046,5,1552,PROD007,2019-02-15,1117
SALE0047,29,2478,PROD008,2019-02-16,463
SALE0048,10,2740,PROD030,2019-02-17,959
SALE0049,19,2605,PROD016,2019-02-18,1387
SALE0050,5,2423,PROD010,2019-02-19,1440
SALE0051,55,1110,PROD025,2019-02-20,1168
SALE0052,14,1747,PROD030,2019-02-21,754
SALE0053,12,1762,PROD009,2019-02-22,479
SALE0054,58,2983,PROD038,2019-02-23,640
SALE0055,31,1775,PROD018,2019-02-24,1313
SALE0056,12,1656,PROD021,2019-02-25,542
SALE0057,35,1381,PROD008,2019-02-26,336
SALE0058,38,1821,PROD023,2019-02-27,1240
SALE0059,45,1519,PROD029,2019-02-28,548
SALE0060,30,1229,PROD033,2019-03-01,378
SALE0061,36,1152,PROD027,2019-03-02,215
SALE0062,50,2889,PROD005,2019-03-03,470
SALE0063,27,2353,PROD028,2019-03-04,398
SALE0064,9,2718,PROD037,2019-03-05,1096
SALE0065,16,2039,PROD010,2019-03-06,687
SALE0066,21,1296,PROD019,2019-03-07,768
SALE0067,41,2524,PROD036,2019-03-08,1113
SALE0068,22,2938,PROD018,2019-03-09,378
SALE0069,32,1639,PROD011,2019-03-10,1238
SALE0070,49,1550,PROD040,2019-03-11,970
SALE0071,25,1330,PROD037,2019-03-12,531
SALE0072,41,1381,PROD011,2019-03-13,974
SALE0073,1,1579,PROD017,2019-03-14,75
SALE0074,53,2261,PROD027,2019-03-15,812
SALE0075,54,1808,PROD003,2019-03-16,944
SALE0076,39,1356,PROD037,2019-03-17,576
SALE0077,39,2927,PROD029,2019-03-18,464
